ts,frame_idx,mode,fps,latency_ms,width,height,power_state
1771342478.7852416,365,hand,29.59445690981189,25.798700051382184,640,480,unknown
1771342478.8194299,366,hand,29.139454907981854,26.131000136956573,640,480,unknown
1771342478.83858,367,hand,28.526276414138323,14.95509990490973,640,480,unknown
1771342478.8740034,368,hand,47.914094450410104,14.628599863499403,640,480,unknown
1771342478.9061809,369,hand,30.871114709454236,14.487200183793902,640,480,unknown
1771342478.9547732,370,hand,29.200517968782634,29.497200157493353,640,480,unknown
1771342478.999641,371,hand,20.22842867270807,24.985700147226453,640,480,unknown
1771342479.0281537,372,hand,29.117203173919986,25.224799988791347,640,480,unknown
1771342479.0677438,373,hand,30.096684151233127,25.14280006289482,640,480,unknown
1771342479.0980237,374,hand,28.958988096881992,25.673900032415986,640,480,unknown
1771342479.1293886,375,hand,29.337157006064253,26.625700062140822,640,480,unknown
1771342479.1701636,376,hand,29.552336395919056,24.941699812188745,640,480,unknown
1771342479.1955113,377,hand,29.535064185168753,26.440100045874715,640,480,unknown
1771342479.2386806,378,hand,29.419467065070247,25.80980001948774,640,480,unknown
1771342479.2521634,379,hand,29.82086029150373,15.104500111192465,640,480,unknown
1771342479.3067806,380,hand,28.80742867347079,26.81860001757741,640,480,unknown
1771342479.334287,381,hand,28.946796690062595,25.129999965429306,640,480,unknown
1771342479.35018,382,hand,29.423388284812347,14.299799920991063,640,480,unknown
1771342479.3989208,383,hand,29.512412046158175,15.218500047922134,640,480,unknown
1771342479.4421597,384,hand,29.143301834352418,24.11450003273785,640,480,unknown
1771342479.454898,385,hand,27.38153805979893,14.169099973514676,640,480,unknown
1771342479.4920988,386,hand,29.73355167549251,14.846500009298325,640,480,unknown
1771342479.548673,387,hand,29.587150203511545,27.910100063309073,640,480,unknown
1771342479.5810077,388,hand,28.96338751778143,25.641300017014146,640,480,unknown
1771342479.605325,389,hand,29.25020572687839,14.542599907144904,640,480,unknown
1771342479.6506782,390,hand,29.210482697142538,26.680100010707974,640,480,unknown
1771342479.6845593,391,hand,29.55337753570598,26.31409978494048,640,480,unknown
1771342479.7246847,392,hand,25.26263039969162,26.337899966165423,640,480,unknown
1771342479.7600892,393,hand,29.686621462848407,27.672199998050928,640,480,unknown
1771342479.792445,394,hand,30.83298905412657,27.456299867480993,640,480,unknown
1771342479.8231137,395,hand,31.327661799305375,27.182199992239475,640,480,unknown
1771342479.8582742,396,hand,29.78443709079547,27.757099829614162,640,480,unknown
1771342479.8916314,397,hand,29.192591716141067,27.000899892300367,640,480,unknown
1771342479.9213817,398,hand,29.902925911138993,24.76039994508028,640,480,unknown
1771342479.9549637,399,hand,30.673794601393897,25.757299968972802,640,480,unknown
1771342479.989134,400,hand,29.915509432616524,25.9487999137491,640,480,unknown
1771342480.0226853,401,hand,29.142896846903184,26.636300142854452,640,480,unknown
1771342480.0525944,402,hand,28.914070632354665,25.817499961704016,640,480,unknown
1771342480.092368,403,hand,30.055276489935725,25.936499936506152,640,480,unknown
