ts,frame_idx,mode,fps,latency_ms,target_w,target_h,power_state
1771344008.3709788,3620,face,15.152011271065513,6.217699963599443,320,240,plugged
1771344008.4034536,3621,face,31.552964364435148,5.714399972930551,320,240,plugged
1771344008.4330008,3622,face,32.97149595157613,1.8382000271230936,320,240,plugged
1771344008.453482,3623,face,48.82547960514062,3.1211001332849264,320,240,plugged
1771344008.4702594,3624,face,59.603581071479326,3.9918001275509596,320,240,plugged
1771344008.5134468,3625,face,23.1549124715001,1.8074000254273415,320,240,plugged
1771344008.5454197,3626,face,31.276501819483386,2.1939000580459833,320,240,plugged
1771344008.5763319,3627,face,32.34972812463846,3.1551001593470573,320,240,plugged
1771344008.6093905,3628,face,30.24927519508431,5.14519982971251,320,240,plugged
1771344008.6426706,3629,face,30.047955755192103,2.1426999010145664,320,240,plugged
1771344008.673811,3630,face,32.1127002113129,3.19460011087358,320,240,plugged
1771344008.705573,3631,face,31.484041435219936,3.53639991953969,320,240,plugged
1771344008.7704725,3632,face,15.40845235996003,5.945199867710471,320,240,plugged
1771344008.8042474,3633,face,31.37476436970767,2.2601999808102846,320,240,plugged
1771344008.8213668,3634,face,52.57205886039458,5.445200018584728,320,240,plugged
1771344008.8397214,3635,face,54.48209391439891,2.2973997984081507,320,240,plugged
1771344008.881349,3636,face,24.022497265161885,1.9182998221367598,320,240,plugged
1771344008.9151134,3637,face,29.617026084254828,4.7981999814510345,320,240,plugged
1771344008.9468112,3638,face,31.547980443775856,5.390900187194347,320,240,plugged
1771344008.9783914,3639,face,31.66540084706735,4.361399915069342,320,240,plugged
1771344009.0084114,3640,face,33.31112752456061,1.9541000947356224,320,240,plugged
1771344009.040526,3641,face,31.138576667805015,4.018899984657764,320,240,plugged
1771344009.07752,3642,face,27.031424815034416,3.7579999770969152,320,240,plugged
1771344009.105411,3643,face,37.96059407553557,2.322500105947256,320,240,plugged
1771344009.1696758,3644,face,15.194606559218082,5.027600098401308,320,240,plugged
1771344009.1886172,3645,face,52.79440122850741,2.494300017133355,320,240,plugged
1771344009.2069235,3646,face,54.62613633403662,3.8320000749081373,320,240,plugged
1771344009.25051,3647,face,22.942887618630856,5.378300091251731,320,240,plugged
1771344009.2826338,3648,face,31.12956352004275,2.0924999844282866,320,240,plugged
1771344009.312195,3649,face,33.82803313197139,2.3250000085681677,320,240,plugged
1771344009.3432627,3650,face,32.18786404414191,2.3644999600946903,320,240,plugged
1771344009.3766768,3651,face,29.9274629144696,2.101199934259057,320,240,plugged
1771344009.4085197,3652,face,31.404128512492605,4.119299817830324,320,240,plugged
1771344009.441511,3653,face,30.311140018066848,2.6258998550474644,320,240,plugged
1771344009.475455,3654,face,29.46017475346276,2.0043000113219023,320,240,plugged
1771344009.5058472,3655,face,32.903211635313866,5.146299954503775,320,240,plugged
1771344009.5360196,3656,face,33.14292938870978,1.849199878051877,320,240,plugged
1771344009.569889,3657,face,29.525084647927972,6.426800042390823,320,240,plugged
1771344009.6179705,3658,face,20.798064145030445,1.8639001064002514,320,240,plugged
1771344009.6504273,3659,face,30.810113564576078,1.9272000063210726,320,240,plugged
1771344009.6821694,3660,face,31.503905780555222,1.8807000014930964,320,240,plugged
1771344009.713642,3661,face,31.77382674898678,6.167599931359291,320,240,plugged
1771344009.7463312,3662,face,32.45661930850899,2.1132000256329775,320,240,plugged
1771344009.7765498,3663,face,31.154998625832857,1.8348000012338161,320,240,plugged
1771344009.8092813,3664,face,30.551578456652535,3.0156997963786125,320,240,plugged
1771344009.8424706,3665,face,30.13019553754867,4.42110002040863,320,240,plugged
1771344009.8727403,3666,face,33.036420919974795,2.539300126954913,320,240,plugged
1771344009.9063878,3667,face,29.71985715095516,4.65380004607141,320,240,plugged
1771344009.9383113,3668,face,31.324854178958454,1.8429998308420181,320,240,plugged
1771344009.9846246,3669,face,22.41253386483988,1.806899905204773,320,240,plugged
1771344010.0168371,3670,face,31.258320788183212,1.9767999183386564,320,240,plugged
